#1_id	#2_content	#3_country_label
subtask1_train_1	USER روتلج علمود جنسيه	Iraq
subtask1_train_2	النت في عمان يذكرني ببطاقه الافق مال NUM ريالات #نورس_عمان	Oman
subtask1_train_3	USER انا كنصراوي لاالوم اخواني النصراويه بتشجيع اوراوا ضد الهلال لانه دايم يجعل نصرنا مسخره امام الجميع ويشخلنا ب NUM #السبت_كلنا_او	Saudi_Arabia
subtask1_train_4	دوله اسرائيل قائمه علي ضعفنا يوم ما نتوحد ونقوي رح نتحرر بسهوله ورح ترجع ارضنا رح ترجع حيفا ويافا وعكا URL URL	Palestine
subtask1_train_5	USER لو تقابلنا بعد طول الغياب ضمني ما فيني حيل اعاتبك	Bahrain
subtask1_train_6	براندت سريع مكان اوزيل و جورتزيكا وري المهاجم يا لوف	Bahrain
subtask1_train_7	USER هالاسبوع باحمد ربي اني طالب في جامعه البحرين	Bahrain
subtask1_train_8	سمر انا مابقي شيء واتخرج بس لين الحين احس اني مو متمكنه والترم الجاي تدريب وخايفه طبيعي احساسك حاولي تتغلبين علي هالشعور انك تكونين مطلعه وفاهمه اساسيات تخصصك اشياء يجب علي كل طالب محاسبه امه يعرفها واشياء بسيطه كلها تعلمناها في محاسبه NUM و URL	Saudi_Arabia
subtask1_train_9	كل ما بشوف علي التلفزيون قمه عربيه مشتركه بفتكر القمه العربيه اللي كانت في فيلم شورت و فانله و كاب شكلهم مش طايقين بعض فعلا	Egypt
subtask1_train_10	لهم قهیرانی بيموچهییهدا ميمي هيرو بارەهیهکی زور بو کوردئیدل تهرخان دهكات	Iraq
subtask1_train_11	راح ابو السبح واجانه ابو الكبه ها ها ها يشعر ب خربت والحمزه	Iraq
subtask1_train_12	عن كميه الاشياء اللي لازم اعملها هاد الاسبوع	Jordan
subtask1_train_13	USER يا شيخه كل خمس دقائق حفله اكل و كل رايحه و جاي حفله شكل اشي خرافي	Jordan
subtask1_train_14	USER مافهمتش اي بوست	Libya
subtask1_train_15	USER زمان كان عندي منه شريط واني صغيره يالله عمري يجي NUM سنين كلما تجي اللقطه هادي نبدا ندمع gt	Libya
subtask1_train_16	USER زول انت لي بقيت ما بتسال انا و انا من متين بسال	Sudan
subtask1_train_17	USER ولا علينا من حد ياخوي	UAE
subtask1_train_18	USER رحم الله الوالد كان في مرضه الذي مات فيه وسمع قريبه له تشتكي من عله بسيطه فتمثل بقول الشمري تشكي من اللكمه وانا الراس مق	Saudi_Arabia
subtask1_train_19	USER لو تبي اتطور من نفسك وتكون افضل اول خطوه لازم اتديرها وخاصه في ليبيا هي انك تحتك بالمميزين وتخالطهم وتصادقهم وتحاول تحسن ال	Libya
subtask1_train_20	USER USER هه عيشي حياتج الخوف حلو تراه هه	UAE
subtask1_train_21	ودي افلق الصفريه فكل من يجيب ليي مواعين واني اغسل وافكر ذي اخر شيء وباخلص وتطلع ليي عشر طوايس خخلااععصص	Bahrain
subtask1_train_22	USER USER USER USER انا برضه مش قادر افهم الدماغ العربيه والتحزب والطائفيه تكلمهم عن مشكله اخلاقيه يدخلك في عقائد وايمانيات لازم يظهر بدور الفاهم العارف المنصح	Egypt
subtask1_train_23	الناس الي بتقضي الصيف في شرم و الساحل و الشتاء في الاقصر و اسوان الناس دي مين وراها مين بيمولها	Egypt
subtask1_train_24	USER الناس مفترض تمشي تتبرع بالدم قبل يوم NUM عشان نعمل حساب اي شيء ممكن يحصل اليوم داك التبرع بالدم امر مهم و واجب علي كل	Sudan
subtask1_train_25	USER والي بيسافروا قريب يطبق عليهم المرسوم هذا ولا	Oman
subtask1_train_26	كمليا زوجه فنان الراب عزو ترفض تمثيل الجزائر في منافسه دوليه وهدا لتندد عن الفساد الدي يعيشه القطاع الفدراليه تقول انها تهدد الاستقرار و تخلق البلبله ان شاء الله عزو مايكلاشيهاش ويقلها راكي ديري في URL URL	Algeria
subtask1_train_27	USER خطاك السو ياابو عذبي و الله يعوضك خير و عسي الله يحفطكم	Kuwait
subtask1_train_28	USER بس ما اعتقد لان هيج وقت كل الاكلات حلوه	Iraq
subtask1_train_29	USER هه اني و نهضه don t match لهجه مصريه	Tunisia
subtask1_train_30	طفل صغير و لسناو طويل ما يقلي حد ما تعملش عقلك من عقلو والله الذي لا اله الا هو URL انا يا هو هه	Tunisia
subtask1_train_31	USER بس بلبنان انو تكتبلك كلمتين عالفيسبوك اخطر من انك تمتلك ميليشيا مسلحه #الحريه_لميشال_الدويهي	Lebanon
subtask1_train_32	#العروض_عنا_غير لانه احنا وانتوا عيله وحده #لانكم_غالين_علينا ركز عل الاسم منيح #ارمي_سنتر منا الكم اقوي العروض مع بدايه موسم الصيف من ارمي سنتر ومن مدينتنا الحبيبه نابلس منزفلكم خبر عروضنا بوت او توب سايدر URL URL	Palestine
subtask1_train_33	USER ما شاء الله وهذا هو ع قولتك غلط وضياع جي لعبك URL	UAE
subtask1_train_34	ردت اشوفك حتي اغنيلك لهفتي وردت اكلك من مشيت الشيب لم روحه بگذلتي	Iraq
subtask1_train_35	USER يومكم طيب ورائع كرائحه #القهوه من هذا المكان الساحر الذي خلفي ترونه #مغاديت الغابه المتحجره بصحراء ليبيا كل معد	Libya
subtask1_train_36	USER علميني اكسبي اجر مثلا اعمليلي عرض كل صفحه بقراها عطيني NUM ليرات	Jordan
subtask1_train_37	USER مبروك لجمهور الشارجه الدوري تستاهلون الفرحه	UAE
subtask1_train_38	ما اخطيت بمفارقك لو كان يتعبني اخطيت في حق نفسي يوم حبيتك	Bahrain
subtask1_train_39	من الاشياء اللي فرزتها هالكم يوم هم طبقه المؤثرين والكوميديين وصانعين المحتوي اللي ياما قززونا حياتنا بشكل او باخر اليوم التطورات فرزتهم بدقه شخصيا اتعهد بعدم شل بخت اي واحد منهم وقف وقفه وطن حتي لو من باب التسلق عالاقل كان جريء و واضح #اضراب_الاردن #الدوار_الرابع	Jordan
subtask1_train_40	ولما تتلاقي الوشوش مرتين ما بيتلاقوش يوم اللقا التاني عمر الوشوش ما بتبقي بعد السنين نفس الوشوش دي بتبقي تبقي شيء تاني URL	Egypt
subtask1_train_41	USER USER يوم ما رايمين من البدايه كان طرحها لاستثمار ما اللحين ما باقي شي فيها الحاره وبعدين حال موه مخسرين فلوس حال الدراسات والاستشارات ما فيه حد بيعق فلوسه عاد تو	Oman
subtask1_train_42	USER دي جات مع البدله والا شنو	Sudan
subtask1_train_43	السيد هذايا يحب يولي بطل بربي عاونوه زاده يحب هاكي جمعيه الدفاع عن الاقليات اتدافع عليه وعلاش لا ادبرلو URL URL	Tunisia
subtask1_train_44	في ناس كانوا كله يدعوا ليي الحين غرتهم الدنيا حتي كلام مايكلموني	Bahrain
subtask1_train_45	USER USER USER ماده سهله ممتعه تحتاج لبعض الجهد نزلي البرنامج ف لابك الشخصي تقدري تذاكريها حتي لو فالشارع	Oman
subtask1_train_46	USER ايوا هد الشي اللي بقي URL	Morocco
subtask1_train_47	يا دري دوك ناس داو الفخذ ولا مزال	Algeria
subtask1_train_48	USER اعزائي بكره عمليتي و محتاجين تبرع بالدم O رقم الملف NUM غيداء العمري مستشفي الملك فهد العام جده ضروري بكره	Saudi_Arabia
subtask1_train_49	USER اب يمني اتصل علي زوجته ام محمد ايش كان لابس ولدنا محمد وهو رايح لمركز تحفيظ القران الصفي في صعده ام محمد جاكيت اخ	Yemen
subtask1_train_50	#الاسد سبب حرب الكويت واتساع ثقب الاوزون والاحتباس الحراري وانه العمانيين مداومين رابع العيد	Oman
subtask1_train_51	انا ابن القدس ومن هون URL	Palestine
subtask1_train_52	وفي الفرض يا مريد اذكر الله بالتوحيد دوام اسهر يا نفسي دوام بوصيك حبي الشيخ اليرشد ليك هو الكامل بلا تشكيك من فيضو يمن عليك حب اهل الله يا مريد كرام القوم عباد السيد المابي URL URL	Sudan
subtask1_train_53	USER USER بالله مهي كلمه معبره بتختزل كثير اشياء	Jordan
subtask1_train_54	USER يمكن اسوء مرحله بحياتي هيه مرحله الجامعه صراحه كلش كرهتها وكرهت اجوائها اسمها جامعه بس داخلها مستشفي امراض نفسيه من كثر ماموجود عالم مريضه اكثر من مره انفصل لان اتعارك ويا الاستاذه بسبب اسلوبهم الزفت	Iraq
subtask1_train_55	رساله الي #حكومه_غزه من مواطن فلسطيني مش_زعلان ع حالي زعلان ع امي الي بتستنا اجمع مهري عشان تفرح فيا URL	Palestine
